epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,51.2004,0.48641,0.40892,0.82716,0.95468,0.99921,0.995,0.86675,0.49213,0.40897,0.80907,0.005612,0.005612,0.005612
111,51.6712,0.55138,0.42825,0.8695,0.95468,0.99921,0.995,0.86675,0.49213,0.40897,0.80907,0.00548,0.00548,0.00548
112,52.1771,0.57217,0.42279,0.81229,0.97588,1,0.995,0.82514,0.52355,0.57648,0.82807,0.005348,0.005348,0.005348
113,52.6305,0.57047,0.43494,0.85585,0.97588,1,0.995,0.82514,0.52355,0.57648,0.82807,0.005216,0.005216,0.005216
114,53.1064,0.58787,0.44121,0.8557,0.97588,1,0.995,0.82514,0.52355,0.57648,0.82807,0.005084,0.005084,0.005084
115,53.5725,0.58982,0.49374,0.84471,0.97588,1,0.995,0.82514,0.52355,0.57648,0.82807,0.004952,0.004952,0.004952
116,54.0545,0.59188,0.4659,0.85865,0.92114,0.99292,0.995,0.87517,0.49103,0.39955,0.82163,0.00482,0.00482,0.00482
117,54.5166,0.53003,0.38388,0.82951,0.92114,0.99292,0.995,0.87517,0.49103,0.39955,0.82163,0.004688,0.004688,0.004688
118,54.9899,0.50792,0.39501,0.85079,0.92114,0.99292,0.995,0.87517,0.49103,0.39955,0.82163,0.004556,0.004556,0.004556
119,55.4971,0.6295,0.45401,0.82417,0.92114,0.99292,0.995,0.87517,0.49103,0.39955,0.82163,0.004424,0.004424,0.004424
120,56.0056,0.51332,0.42981,0.84402,0.98339,1,0.995,0.87254,0.47399,0.38593,0.82298,0.004292,0.004292,0.004292
121,56.4603,0.51895,0.36302,0.83561,0.98339,1,0.995,0.87254,0.47399,0.38593,0.82298,0.00416,0.00416,0.00416
122,56.9515,0.55979,0.37377,0.82231,0.98339,1,0.995,0.87254,0.47399,0.38593,0.82298,0.004028,0.004028,0.004028
123,57.4519,0.55999,0.3933,0.8446,0.98339,1,0.995,0.87254,0.47399,0.38593,0.82298,0.003896,0.003896,0.003896
124,58,0.53958,0.38377,0.87219,0.95449,0.99349,0.995,0.89158,0.42944,0.35589,0.81079,0.003764,0.003764,0.003764
125,58.5433,0.44428,0.33827,0.77441,0.95449,0.99349,0.995,0.89158,0.42944,0.35589,0.81079,0.003632,0.003632,0.003632
126,59.054,0.5122,0.36312,0.85114,0.95449,0.99349,0.995,0.89158,0.42944,0.35589,0.81079,0.0035,0.0035,0.0035
127,59.5702,0.505,0.36283,0.81021,0.95449,0.99349,0.995,0.89158,0.42944,0.35589,0.81079,0.003368,0.003368,0.003368
128,60.0645,0.50594,0.38256,0.82648,0.98836,1,0.995,0.87578,0.47777,0.33211,0.82346,0.003236,0.003236,0.003236
129,60.5489,0.53916,0.34841,0.848,0.98836,1,0.995,0.87578,0.47777,0.33211,0.82346,0.003104,0.003104,0.003104
